Geneid,UHR_Rep1,UHR_Rep2,UHR_Rep3,HBR_Rep1,HBR_Rep2,HBR_Rep3
ENSG00000183765,187,160,191,2,10,5
ENSG00000100209,85,54,38,17,17,24
ENSG00000159873,516,350,347,134,149,115
ENSG00000100219,2150,1271,1520,130,191,155
ENSG00000226471,16,17,29,6,12,4
ENSG00000272858,8,6,4,1,0,0
ENSG00000183579,194,171,164,191,208,203
ENSG00000235786,7,5,4,2,12,5
ENSG00000183762,150,114,138,100,124,72
ENSG00000200871,0,0,0,2,0,0
ENSG00000186998,21,10,14,22,38,55
ENSG00000100263,155,113,128,46,76,57
ENSG00000237015,1,0,0,1,1,0
ENSG00000182944,1824,1330,1655,674,701,712
ENSG00000185340,63,44,68,146,153,130
ENSG00000100276,0,2,0,16,52,34
ENSG00000273216,2,1,0,0,0,2
ENSG00000100280,702,472,531,443,531,505
ENSG00000278292,0,1,0,0,0,0
ENSG00000225465,12,4,2,349,347,359
ENSG00000282816,0,0,0,1,3,0
ENSG00000100285,52,46,42,387,516,490
ENSG00000100296,427,264,290,145,242,127
ENSG00000234208,1,3,0,0,0,1
ENSG00000184117,559,363,448,198,250,228
ENSG00000186575,895,605,697,404,541,473
ENSG00000233010,4,0,6,4,8,2
ENSG00000232396,0,0,0,0,2,0
ENSG00000100314,4,2,10,42,53,58
ENSG00000100319,88,55,43,40,36,24
ENSG00000184076,372,193,274,164,186,206
ENSG00000100325,276,176,249,66,82,73
ENSG00000100330,436,262,318,441,540,495
ENSG00000279159,12,23,2,4,10,4
ENSG00000275818,0,0,1,0,0,0
ENSG00000227117,0,0,0,2,0,0
ENSG00000227201,0,2,0,0,0,0
ENSG00000176635,2,0,0,0,0,0
ENSG00000128342,311,197,216,4,6,6
ENSG00000099985,0,0,2,0,0,1
ENSG00000279699,0,2,2,3,6,0
ENSG00000239282,2,0,1,8,9,4
ENSG00000099992,66,53,70,22,28,26
ENSG00000099995,765,512,588,367,474,365
ENSG00000187860,17,17,9,6,34,19
ENSG00000099999,123,78,101,113,131,87
ENSG00000100003,51,34,47,93,133,118
ENSG00000273350,0,2,0,2,10,2
ENSG00000222915,0,0,0,0,2,0
ENSG00000272689,7,8,4,0,3,2
ENSG00000242114,4,7,4,0,0,0
ENSG00000273428,1,0,0,0,0,0
ENSG00000230137,2,0,0,0,0,0
ENSG00000133488,5,2,8,0,0,2
ENSG00000214491,5,11,10,8,24,4
ENSG00000128242,7,6,7,38,36,37
ENSG00000100029,537,402,503,127,158,138
ENSG00000185339,111,95,83,38,51,46
ENSG00000100036,42,30,26,38,70,60
ENSG00000167065,37,27,18,16,22,28
ENSG00000250318,5,0,2,2,1,0
ENSG00000184792,199,95,161,232,262,183
ENSG00000264661,0,0,0,2,0,0
ENSG00000237977,6,10,9,2,8,17
ENSG00000235989,0,3,0,0,8,4
ENSG00000133422,328,207,319,165,185,116
ENSG00000253352,1308,819,901,438,514,478
ENSG00000269987,2,2,0,0,0,0
ENSG00000278920,4,8,2,0,0,0
ENSG00000183963,288,186,285,70,82,71
ENSG00000273387,6,4,6,8,4,2
ENSG00000198832,48,34,34,166,170,149
ENSG00000185133,10,13,26,117,153,115
ENSG00000100078,26,19,16,0,2,0
ENSG00000138942,235,189,212,129,226,161
ENSG00000254835,0,2,0,0,0,0
ENSG00000182541,209,130,177,111,151,115
ENSG00000100100,85,48,57,217,318,249
ENSG00000228839,0,1,2,1,3,4
ENSG00000100105,379,224,271,142,146,120
ENSG00000213888,14,18,8,22,27,26
ENSG00000185721,369,283,298,161,210,190
ENSG00000184708,153,126,134,185,202,185
ENSG00000240591,3,3,0,2,0,2
ENSG00000199248,0,2,2,1,0,0
ENSG00000198089,248,177,251,213,218,200
ENSG00000214093,8,2,6,0,2,1
ENSG00000241878,299,183,210,384,498,476
ENSG00000183530,830,579,664,433,535,464
ENSG00000100150,152,96,124,101,154,140
ENSG00000242251,1,2,2,0,0,0
ENSG00000236132,0,2,0,0,0,0
ENSG00000128254,2,2,0,0,7,4
ENSG00000128245,675,445,591,2057,2718,2296
ENSG00000100170,0,4,0,0,0,0
ENSG00000239674,2,0,0,0,0,0
ENSG00000205856,0,1,0,0,4,0
ENSG00000128253,2,0,0,16,4,21
ENSG00000279219,1,0,0,0,0,0
ENSG00000254127,0,0,1,0,0,0
ENSG00000242082,4,4,0,8,12,5
ENSG00000100191,20,13,7,5,2,2
ENSG00000214076,10,13,19,80,84,82
ENSG00000224050,0,0,0,1,2,5
ENSG00000273325,1,0,0,0,4,0
ENSG00000234626,1,0,0,0,0,0
ENSG00000205853,0,2,6,5,8,3
ENSG00000100220,672,359,490,217,298,248
ENSG00000184459,0,2,0,0,0,0
ENSG00000100225,853,741,735,323,354,393
ENSG00000185666,21,19,17,142,217,157
ENSG00000236054,0,2,2,0,0,0
ENSG00000100234,1596,970,1196,382,508,468
ENSG00000133424,164,109,164,347,422,399
ENSG00000266012,0,0,0,1,0,0
ENSG00000232081,0,0,1,0,0,0
ENSG00000224973,0,3,0,0,0,0
ENSG00000273082,3,0,0,0,0,0
ENSG00000236052,0,2,0,0,0,0
ENSG00000224404,0,0,0,0,2,4
ENSG00000280356,6,4,4,0,0,0
ENSG00000234891,0,2,0,3,3,0
ENSG00000237316,0,0,0,0,0,2
ENSG00000227895,4,0,1,1,0,0
ENSG00000175329,2,6,2,0,0,0
ENSG00000233080,5,5,7,0,0,0
ENSG00000279184,2,14,0,0,0,0
ENSG00000243453,1,0,1,0,0,0
ENSG00000100281,240,196,201,63,87,92
ENSG00000273176,0,0,0,0,0,2
ENSG00000100284,162,101,135,192,231,205
ENSG00000266320,2,2,0,2,0,0
ENSG00000282602,2,0,0,0,0,0
ENSG00000100292,163,101,160,26,37,26
ENSG00000100297,1070,571,881,56,63,68
ENSG00000233388,6,0,8,0,0,0
ENSG00000100302,28,25,32,110,161,119
ENSG00000198125,18,14,16,0,2,0
ENSG00000268818,0,1,0,0,0,0
ENSG00000221963,662,390,508,128,108,112
ENSG00000100320,1030,724,811,1229,1462,1404
ENSG00000237406,8,7,6,6,6,3
ENSG00000279652,2,2,0,0,0,0
ENSG00000279217,0,6,0,0,0,0
ENSG00000279805,0,1,0,2,0,2
ENSG00000128284,71,60,37,14,10,21
ENSG00000237948,0,2,0,0,0,0
ENSG00000229088,0,2,0,0,0,0
ENSG00000100336,18,8,8,20,10,14
ENSG00000128335,282,212,223,221,297,264
ENSG00000100342,164,124,147,8,18,12
ENSG00000100345,5311,3175,4177,880,1004,946
ENSG00000278420,1,1,0,0,0,0
ENSG00000223695,4,0,0,2,3,1
ENSG00000228719,0,0,0,0,0,6
ENSG00000100348,162,97,77,54,82,77
ENSG00000100350,427,204,241,146,215,211
ENSG00000100353,1472,975,1253,200,233,259
ENSG00000188078,0,0,2,0,0,0
ENSG00000261675,0,0,0,82,112,87
ENSG00000166862,0,0,0,66,68,96
ENSG00000234688,0,0,0,6,4,8
ENSG00000100360,152,102,115,105,110,111
ENSG00000100362,46,34,30,199,253,202
ENSG00000234979,0,0,0,2,0,0
ENSG00000100365,48,36,32,6,14,2
ENSG00000100368,98,77,78,4,7,8
ENSG00000232254,0,2,0,0,0,0
ENSG00000215403,0,1,0,0,0,0
ENSG00000128311,176,120,100,35,42,35
ENSG00000128309,262,148,224,68,58,66
ENSG00000100379,64,40,27,92,148,144
ENSG00000187045,8,4,6,0,0,0
ENSG00000100385,12,8,8,2,0,0
ENSG00000235237,2,0,0,0,0,0
ENSG00000133466,187,129,146,16,14,20
ENSG00000278195,28,22,24,60,72,96
ENSG00000128340,220,151,182,15,16,10
ENSG00000100055,42,36,23,26,35,28
ENSG00000243902,0,0,0,4,8,6
ENSG00000237862,2,4,0,2,3,2
ENSG00000166897,40,26,54,229,293,240
